Data da Venda,Mês,Região,Vendedor,Código Vendedor,Vendas
2018-02-24,FEV,Norte,Renata,5,1375.04
2018-02-06,FEV,Sudeste,Rodrigo,3,4311.03
2018-01-26,JAN,Nordeste,Roberto,1,17624.19
2018-05-03,MAI,Sudeste,Ronaldo,8,5727.88
2018-01-30,JAN,Nordeste,Rafael,6,6428.37
2018-02-03,FEV,Norte,Rodrigo,3,15668.46
2018-03-16,MAR,Sudeste,Rodrigo,3,4415.37
2018-05-20,MAI,Norte,Roberto,1,7975.31
2018-03-15,MAR,Sudeste,Ricardo,2,5436.96
2018-02-10,FEV,Sudeste,Roberto,1,2447.49
2018-04-08,ABR,Sul,Roberta,4,7980.64
2018-05-31,MAI,Nordeste,Raquel,7,7013.58
2018-03-22,MAR,Norte,Raquel,7,2984.36
2018-01-13,JAN,Sul,Roberta,4,9356.21
2018-04-13,ABR,Nordeste,Roberta,4,6789.3
2018-02-13,FEV,Sudeste,Roberto,1,4490.6
2018-03-02,MAR,Sudeste,Ronaldo,8,4153.12
2018-04-06,ABR,Nordeste,Raquel,7,5891.01
2018-05-31,MAI,Norte,Rafael,6,12304.37
2018-01-24,JAN,Nordeste,Rafael,6,4013.2
2018-02-01,FEV,Sul,Ronaldo,8,2133.86
2018-03-23,MAR,Norte,Ricardo,2,2784.82
2018-01-26,JAN,Nordeste,Ricardo,2,3777.03
2018-01-22,JAN,Norte,Renata,5,1552.75
2018-02-18,FEV,Sul,Rafael,6,19228.1
2018-04-15,ABR,Nordeste,Ronaldo,8,3272.24
2018-03-19,MAR,Nordeste,Renata,5,1862.58
2018-04-03,ABR,Sudeste,Raquel,7,2912.99
2018-04-22,ABR,Sul,Renata,5,6141.0
2018-01-16,JAN,Nordeste,Raquel,7,18374.25
2018-03-07,MAR,Norte,Raquel,7,1278.35
2018-03-02,MAR,Sul,Ronaldo,8,3925.4
2018-05-08,MAI,Sul,Roberta,4,4085.39
2018-04-21,ABR,Sudeste,Raquel,7,4072.08
2018-02-11,FEV,Sul,Roberta,4,8197.66
2018-01-10,JAN,Sul,Raquel,7,9424.18
2018-04-24,ABR,Nordeste,Ricardo,2,2155.18
2018-05-21,MAI,Sudeste,Raquel,7,4910.78
2018-04-28,ABR,Sudeste,Ronaldo,8,10497.96
2018-01-06,JAN,Norte,Roberto,1,828.61
2018-01-16,JAN,Norte,Roberta,4,7361.07
2018-01-08,JAN,Sul,Rodrigo,3,8569.31
2018-01-18,JAN,Nordeste,Raquel,7,4750.08
2018-04-24,ABR,Norte,Rafael,6,4840.9
2018-02-27,FEV,Sudeste,Ricardo,2,3092.9
2018-02-26,FEV,Sudeste,Rafael,6,2043.36
2018-02-14,FEV,Norte,Rafael,6,2522.2
2018-01-25,JAN,Sudeste,Rodrigo,3,16180.12
2018-03-12,MAR,Sudeste,Ronaldo,8,7968.72
2018-05-21,MAI,Sudeste,Ronaldo,8,8155.04
2018-02-22,FEV,Sudeste,Roberta,4,1487.78
2018-03-13,MAR,Sul,Ronaldo,8,3882.89
2018-04-10,ABR,Norte,Ronaldo,8,4941.45
2018-01-05,JAN,Norte,Ricardo,2,5099.28
2018-03-21,MAR,Sudeste,Renata,5,10463.4
2018-04-22,ABR,Sul,Rodrigo,3,5285.04
2018-05-16,MAI,Norte,Raquel,7,3102.9
2018-04-26,ABR,Nordeste,Roberto,1,12365.52
2018-03-01,MAR,Sul,Roberta,4,7461.72
2018-05-05,MAI,Sul,Rafael,6,12368.22
2018-05-07,MAI,Sul,Rodrigo,3,13272.3
2018-03-20,MAR,Nordeste,Renata,5,15722.44
2018-01-04,JAN,Sul,Renata,5,8484.68
2018-01-16,JAN,Nordeste,Ricardo,2,3606.12
2018-03-23,MAR,Nordeste,Roberta,4,5778.51
2018-01-09,JAN,Norte,Renata,5,5131.21
2018-01-16,JAN,Nordeste,Rafael,6,6604.79
2018-02-24,FEV,Nordeste,Roberto,1,2957.79
2018-02-05,FEV,Nordeste,Renata,5,13141.57
2018-05-06,MAI,Nordeste,Ronaldo,8,4164.33
2018-03-20,MAR,Sudeste,Renata,5,5760.21
2018-03-19,MAR,Sudeste,Ronaldo,8,4501.36
2018-04-29,ABR,Sul,Renata,5,2664.2
2018-04-13,ABR,Sul,Roberto,1,1998.26
2018-05-11,MAI,Nordeste,Rodrigo,3,5041.41
2018-03-03,MAR,Nordeste,Roberta,4,2368.73
2018-02-07,FEV,Sudeste,Raquel,7,13107.98
2018-01-26,JAN,Norte,Ricardo,2,9463.47
2018-04-29,ABR,Sul,Rafael,6,3136.83
2018-03-25,MAR,Nordeste,Ricardo,2,5713.99
2018-03-05,MAR,Sudeste,Rafael,6,7991.44
2018-05-18,MAI,Nordeste,Rodrigo,3,15253.08
2018-05-28,MAI,Nordeste,Ronaldo,8,3773.68
2018-04-16,ABR,Sul,Rafael,6,3641.76
2018-03-17,MAR,Norte,Ricardo,2,7751.84
2018-01-23,JAN,Sudeste,Ronaldo,8,12405.63
2018-04-30,ABR,Sudeste,Roberta,4,5333.84
2018-04-24,ABR,Sul,Ricardo,2,2575.98
2018-05-29,MAI,Sul,Ronaldo,8,9770.15
2018-01-08,JAN,Sul,Roberto,1,781.76
2018-05-31,MAI,Sudeste,Roberto,1,6330.33
2018-02-14,FEV,Sul,Rodrigo,3,2387.58
2018-05-28,MAI,Norte,Roberto,1,3901.94
2018-05-31,MAI,Sul,Renata,5,13069.15
2018-03-26,MAR,Nordeste,Roberto,1,19228.1
2018-02-12,FEV,Norte,Roberto,1,938.6
2018-01-09,JAN,Norte,Raquel,7,1954.1
2018-02-10,FEV,Sul,Roberta,4,1958.53
2018-04-05,ABR,Nordeste,Roberto,1,6090.48
2018-05-14,MAI,Norte,Renata,5,8444.86
2018-02-12,FEV,Nordeste,Renata,5,13627.84
2018-03-25,MAR,Sudeste,Roberto,1,6178.8
2018-05-05,MAI,Norte,Roberta,4,7197.52
2018-05-08,MAI,Sudeste,Rodrigo,3,4467.76
2018-01-23,JAN,Sudeste,Raquel,7,5195.42
2018-03-15,MAR,Sudeste,Rodrigo,3,4112.86
2018-02-16,FEV,Norte,Renata,5,6522.44
2018-01-11,JAN,Norte,Roberta,4,13699.94
2018-01-31,JAN,Sudeste,Ricardo,2,2169.75
2018-02-27,FEV,Norte,Roberta,4,2333.27
2018-05-30,MAI,Norte,Rafael,6,7698.16
2018-01-04,JAN,Nordeste,Rodrigo,3,4512.42
2018-03-09,MAR,Sul,Raquel,7,6546.35
2018-02-10,FEV,Sul,Raquel,7,2629.39
2018-03-27,MAR,Sudeste,Roberto,1,8237.09
2018-05-18,MAI,Sul,Ricardo,2,407.55
2018-05-06,MAI,Nordeste,Roberto,1,4323.32
2018-03-28,MAR,Norte,Renata,5,7235.83
2018-04-13,ABR,Sudeste,Rodrigo,3,15541.86
2018-03-27,MAR,Norte,Roberto,1,1265.93
2018-03-22,MAR,Sul,Rafael,6,6349.0
2018-02-18,FEV,Nordeste,Roberta,4,3210.77
2018-03-05,MAR,Nordeste,Raquel,7,2151.18
2018-01-03,JAN,Sudeste,Renata,5,10430.7
2018-05-27,MAI,Norte,Renata,5,7342.34
2018-04-24,ABR,Nordeste,Ricardo,2,7675.06
2018-01-25,JAN,Sul,Roberta,4,5948.81
2018-02-20,FEV,Sul,Ricardo,2,5496.71
2018-04-19,ABR,Sudeste,Rafael,6,5374.79
2018-05-23,MAI,Norte,Roberta,4,2925.53
2018-05-13,MAI,Nordeste,Roberto,1,3698.23
2018-03-18,MAR,Norte,Ricardo,2,3928.14
2018-05-05,MAI,Norte,Roberta,4,12510.53
2018-02-15,FEV,Norte,Roberto,1,14837.03
2018-03-06,MAR,Nordeste,Rafael,6,622.65
2018-02-01,FEV,Nordeste,Raquel,7,9985.25
2018-04-30,ABR,Norte,Raquel,7,3993.51
2018-05-16,MAI,Nordeste,Roberto,1,10592.38
2018-05-31,MAI,Norte,Rodrigo,3,19228.1
2018-01-04,JAN,Nordeste,Ronaldo,8,5717.09
2018-03-12,MAR,Sul,Roberta,4,2916.41
2018-04-29,ABR,Sul,Ronaldo,8,7190.49
2018-03-12,MAR,Nordeste,Ronaldo,8,8408.66
2018-05-25,MAI,Norte,Ronaldo,8,19228.1
2018-02-01,FEV,Nordeste,Rafael,6,1726.46
2018-01-03,JAN,Nordeste,Roberta,4,3714.07
2018-02-08,FEV,Sul,Roberta,4,4234.56
2018-02-11,FEV,Sudeste,Rafael,6,3668.85
2018-04-15,ABR,Sul,Ricardo,2,9459.61
2018-03-31,MAR,Sul,Ronaldo,8,9827.66
2018-03-20,MAR,Nordeste,Ronaldo,8,4025.19
2018-02-18,FEV,Norte,Raquel,7,6562.52
2018-01-24,JAN,Sudeste,Roberto,1,10881.92
2018-03-19,MAR,Sul,Ronaldo,8,1353.98
2018-03-24,MAR,Nordeste,Ronaldo,8,6146.17
2018-03-27,MAR,Sul,Ricardo,2,9684.23
2018-04-15,ABR,Sudeste,Roberto,1,19228.1
2018-02-03,FEV,Sudeste,Ronaldo,8,5504.07
2018-01-04,JAN,Sul,Roberto,1,6355.57
2018-03-14,MAR,Sudeste,Ricardo,2,2641.65
2018-03-10,MAR,Sudeste,Renata,5,1957.63
2018-04-25,ABR,Norte,Ricardo,2,7991.15
